x,y,v
-0.5107491095623955,8.991679970687663,2.0
-0.5297214251103438,8.961077684195685,2.0
-0.6535624456422042,8.764895923929654,2.0
-0.7638526586201045,8.560882980844204,2.0
-0.8567842330215611,8.348473619938385,2.0
-0.9313626904334602,8.128791031888454,2.0
-0.9867769521438965,7.903615239280498,2.0
-1.0225613109472766,7.6743868905271935,2.0
-1.0415900714684903,7.443198570630111,2.0
-1.0499999999999956,7.211373103350842,2.0
-1.0547771563271118,6.979456873457679,2.0
-1.0663644604508118,6.747710790983682,2.0
-1.083362970313552,6.516370296864439,2.0
-1.1064513738917798,6.285486261082166,2.0
-1.1285236966713412,6.054526066573108,2.0
-1.1401110007950401,5.822779984099118,2.0
-1.1499999999999955,5.590991470505052,2.0
-1.1499999999999955,5.358955886253604,2.0
-1.1499999999999955,5.126920302002163,2.0
-1.1499999999999955,4.894884717750722,2.0
-1.1580974278584277,4.663051442831355,2.0
-1.169684731982128,4.431305360357357,2.0
-1.1812720361058275,4.199559277883367,2.0
-1.192859340229527,3.967813195409376,2.0
-1.1999999999999962,3.735956016218644,2.0
-1.1999999999999962,3.5039204319672033,2.0
-1.205149324975877,3.2720135004823834,2.0
-1.216736629099577,3.0402674180083857,2.0
-1.2283239332232767,2.808521335534395,2.0
-1.2399112373469765,2.5767752530604047,2.0
-1.249999999999997,2.344991730435132,2.0
-1.249999999999997,2.1129561461836843,2.0
-1.249999999999997,1.8809205619322438,2.0
-1.249999999999997,1.648884977680803,2.0
-1.249999999999997,1.4168493934293553,2.0
-1.252006802603704,1.184863947925855,2.0
-1.2635941067274028,0.9531178654518645,2.0
-1.28528707628768,0.7221292371231625,2.0
-1.3042033756062577,0.49093248787476973,2.0
-1.3016999628116181,0.2589992562324411,2.0
-1.273083517308713,0.028890115391445315,2.0
-1.223254582612493,-0.19748472462500993,2.0
-1.1565796481016912,-0.4197345063276823,2.0
-1.100056404556323,-0.6447743817746909,2.0
-1.0553931357745099,-0.8723790948365752,2.0
-1.016100689393651,-1.1009954040423025,2.0
-0.9893577101186513,-1.3314228988134502,2.0
-0.9681276886657846,-1.5624462266842272,2.0
-0.9565403845420846,-1.7941923091582246,2.0
-0.9499999999999957,-2.026064485862066,2.0
-0.9499999999999957,-2.2581000701135068,2.0
-0.9499999999999957,-2.490135654364954,2.0
-0.9499999999999957,-2.722171238616395,2.0
-0.9564522808269065,-2.954045616538213,2.0
-0.9680395849506066,-3.185791699012211,2.0
-0.9796268890743063,-3.4175377814862014,2.0
-1.012960864562777,-3.646843458251122,2.0
-1.0888357134049167,-3.8658392835123006,2.0
-1.1954755264504477,-4.071625877417419,2.0
-1.3427175720511033,-4.250191975339211,2.0
-1.5319044248313742,-4.38310699117412,2.0
-1.7546682928397284,-4.441483414641986,2.0
-1.9809674098074088,-4.399814665586664,2.0
-2.1821622966717324,-4.284986392329785,2.0
-2.3655460377704958,-4.143035867895075,2.0
-2.5556057826283087,-4.010666819554428,2.0
-2.774999999999996,-3.94,2.0
